Standard_Name,Scientific_Name
Turnip husk,Brassica rapa
Stylo,Stylosanthes guianensis
Brachiaria hybrid,Brachiaria hybrid
Eleusine grass,Eleusine floccifolia
Long-styled fountain grass,Pennisetum longistylum
Love grass,Eragrostis sp
Lady's mantle,Alchemilla abyssinica
Snowdenia grass,Snowdenia polystachya
Fascicled muraingrass,Ischaemum fasciculatum
Cluster love grass,Eragrostis botryodes
Chain pod,Alysicarpus glumaceus
Dwarf tephrosia,Tephrosia pumila
Forked tick trefoil,Desmodium dichotomum
Bristly foxtail,Setaria verticillata
Mission grass,Pennisetum polystachion
Two-lined clover,Trifolium bilineatum
Simien clover,Trifolium simense
Rueppell's clover,Trifolium rueppellianum
Elegant clover,Trifolium decorum
Pale rattlepod,Crotalaria pallida
Quartinian clover,Trifolium quartinianum
Abyssinian joint vetch,Aeschynomene abyssinica
Spiny rattlepod,Crotalaria spinosa
Pichisermolli clover,Trifolium pichisermollii
Plowden's rattlepod,Crotalaria plowdenii
Dense-spiked rattlepod,Crotalaria pycnostachya
Zavattari's indigo,Indigofera zavattarii
Spiked indigo,Indigofera spicata
Bird's foot trefoil,Lotus sp
Woolly-fruited rattlepod,Crotalaria lachnocarpoides
Splendid everlasting,Helichrysum splendidum
Brachiaria grass,Brachiaria spp
Burgamensia,Burgamensia suvelianc
Burr medic,Medicago polymorpha
Burchell's clover,Trifolium burchellianum
Drege's thatching grass,Hyparrhenia dregeana
Canary grass,Phalaris sp
Thatching grass,Hyparrhenia sp
Yellow loudetia,Loudetia flavida
Golden-spiked beard grass,Andropogon chrysostachyus
Chinese beard grass,Andropogon chinensis
Beard grass,Andropogon sp
Erect indigo,Indigofera arrecta
Buffel grass,Cenchrus ciliaris
Kenya clover,Trifolium semipilosum
Great leadtree,Leucaena pulverulenta
Guetmala grass,Tripsacum andersonii
Maize hull,Zea mays
Soya bean hull,Glycine max
Wheat husk,Triticum aestivum
Bean straw,Phaseolus vulgaris
Vetch straw,Vicia sativa
Wheat short,Triticum aestivum
Wheat middling,Triticum aestivum
Wheat short,Triticum aestivum
Maize middling,Zea mays
Maize short,Zea mays
Linseed cake,Linum usitatissimum
Barley middling,Hordeum vulgare
Bean hull,Phaseolus vulgaris
Cottonseed cake,Gossypium hirsutum
Maize middling,Zea mays
Vetch straw,Vicia sativa
Wheat short,Triticum aestivum
Maize middling,Zea mays
Cottonseed cake,Gossypium hirsutum
Sorghum middling,Sorghum bicolor
Bean hull,Phaseolus vulgaris
Bean hull,Phaseolus vulgaris
Barley hull,Hordeum vulgare
Sunflower seed cake,Helianthus annuus
Wheat bran,Triticum aestivum
Noug seed cake,Guizotia abyssinica
Linseed cake,Linum usitatissimum
Noug seed cake,Guizotia abyssinica
Barley husk,Hordeum vulgare
Maize bran,Zea mays
Barley hull,Hordeum vulgare
Barley,Hordeum vulgare
Maize middling,Zea mays
Sweet potato vines,Ipomoea batatas
Sesame seed cake,Sesamum indicum
Cotton seed cake,Gossypium hirsutum
Noug seed cake,Guizotia abyssinica
Maize bran,Zea mays
Barley hull,Hordeum vulgare
Barley,Hordeum vulgare
Maize middling,Zea mays
Sweet potato vines,Ipomoea batatas
Sesame seed cake,Sesamum indicum
