Original_Name,Scientific_Name,Common_Name
Sesbania sesban var. bicolor‚Ä†,Sesbania sesban var. bicolo,Egyptian riverhemp
Cenchrus‚Ä† Purpureues,Cenchrus purpureus,Napier grass
"Enset (leaf, stem )  ",Ensete ventricosum,Enset leaf and stem
Cajanus  cajan,Cajanus cajan,Pigeon pea
Gliricidia  sepium,Gliricidia sepium,Mother of cocoa
Sesbania sesban var.nubica,Sesbania sesban,Common sesban
Leucaena  pallida,Leucaena pallida,Leucaena
Lablab  purpureus,Lablab purpureus,Lablab
Leucaena  leucocephala,Leucaena leucocephala,Leucaena
Vicia villosa subsp. varia,Vicia villosa,Hairy vetch
Dolichos sp.,Lablab purpureus,Lablab
Lablab purpureus subsp. bengalensis,Lablab purpureus,Lablab
Crotalaria sp.,Crotalaria spp.,Rattlepods
Vicia Villosa,Vicia villosa,Hairy vetch
Dolichos  sp.,Lablab purpureus,Lablab
Cenchrus  Purpureues,Cenchrus purpureus,Napier grass
Codariocalyx  gyroides,Codariocalyx gyroides,Telegraph plant
Trifolium semipilosum‚Ä†,Trifolium semipilosum,Kenya white clover
Trifolium brchilliani,Trifolium burchellianum,Burchell clover
Leucaena pulverulenta‚Ä†,Leucaena pulverulenta,Leucaena
Desmodium  intortum 104,Desmodium intortum,Greenleaf desmodium
Desmodium unicinatum 6765,Desmodium uncinatum,Silverleaf desmodium
Medicago littoralis 6502,Medicago littoralis,Strand medic
Medicago truncatula 6843,Medicago truncatula,Barrel medic
Medicago scutellata 9214,Medicago scutellata,Snail medic
Trifolium  decorum 6264,Trifolium decorum,Showy clover
Trifolium  decorum 9437,Trifolium decorum,Showy clover
Trifolium  quartinianum 6301,Trifolium quartinianum,Quartinian clover
Trifolium  quartinianum 8521,Trifolium quartinianum,Quartinian clover
Trifolium  semipilosum 6235,Trifolium semipilosum,Kenya white clover
Trifolium  semipilosum 6236,Trifolium semipilosum,Kenya white clover
Trifolium  tembense 850,Trifolium tembense,Tembien clover
Trifolium  tembense 9368,Trifolium tembense,Tembien clover
Trifolium  repens 6896,Trifolium repens,White clover
Trifolium  burchellianum 9764,Trifolium burchellianum,Burchell clover
Alfalfa,Medicago sativa,Alfalfa
Barley,Hordeum vulgare,Barley
Bean hull,Phaseolus vulgaris,Bean hull
Brachiaria decumbens,Brachiaria decumbens,Brachiaria decumbens
Brachiaria mutica,Urochloa mutica,Brachiaria mutica
Cabbage,Brassica oleracea,Cabbage
Clover,Trifolium spp.,Clover
Coba leaf,Coba spp.,Coba leaf
Cowpea,Vigna unguiculata,Cowpea
Cyperus,Cyperus spp.,Cyperus
Desho grass,Pennisetum pedicellatum,Desho grass
Desmodium uncinatum,Desmodium uncinatum,Desmodium uncinatum
Durum wheat straw,Triticum durum,Durum wheat straw
Enset,Ensete ventricosum,Enset
Enset roots,Ensete ventricosum,Enset roots
Enset stem,Ensete ventricosum,Enset stem
Florida Keys Indian mallow,Abutilon permolle,Florida Keys Indian mallow
Forage oats,Avena sativa,Forage oats
Groundnut cake,Arachis hypogaea,Groundnut cake
Guatemala grass,Tripsacum laxum,Guatemala grass
Guinea grass,Megathyrsus maximus,Guinea grass
Hyparrhenia rufa,Hyparrhenia rufa,Hyparrhenia rufa
Lablab,Lablab purpureus,Lablab
Lentil,Lens culinaris,Lentil
Lentil hull,Lens culinaris,Lentil hull
Linseed cake,Linum usitatissimum,Linseed cake
Maize,Zea mays,Maize
Maize bran,Zea mays,Maize bran
Maize flour,Zea mays,Maize flour
Maize fodder,Zea mays,Maize fodder
Maize grain,Zea mays,Maize grain
Maize hull,Zea mays,Maize hull
Maize middling,Zea mays,Maize middling
Maize silage,Zea mays,Maize silage
Maize stover,Zea mays,Maize stover
Naked barley,Hordeum vulgare,Naked barley
Napier grass,Cenchrus purpureus,Napier grass
Noug seed cake,Guizotia abyssinica,Noug seed cake
Oat grain,Avena sativa,Oat grain
Oats,Avena sativa,Oats
Oats silage,Avena sativa,Oats silage
Oats straw,Avena sativa,Oats straw
Panicum maximum,Panicum maximum,Panicum maximum
Panicum maximum,Megathyrsus maximus,Panicum maximum
Para grass,Brachiaria mutica,Para grass
Pea hull,Pisum sativum,Pea hull
Rhodes grass,Chloris gayana,Rhodes grass
Signal grass,Brachiaria decumbens,Signal grass
Soya bean cake,Glycine max,Soya bean cake
Soya bean meal,Glycine max,Soya bean meal
Stylosanthes hamata,Stylosanthes hamata,Stylosanthes hamata
Stylosanthes scabra,Stylosanthes scabra,Stylosanthes scabra
Teff,Eragrostis tef,Teff
Teff straw,Eragrostis tef,Teff straw
Vetch,Vicia sativa,Vetch
Wheat bran,Triticum aestivum,Wheat bran
Wheat malt,Triticum aestivum,Wheat malt
Wheat middling,Triticum aestivum,Wheat middling
Wheat short,Triticum aestivum,Wheat short
Wheat straw,Triticum aestivum,Wheat straw
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
pennisetum riparium,Pennisetum riparium,Riparian fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
p.villosum,Paphiopedilum villosum,Hairy slipper orchid
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisetum sphacelatum,Pennisetum sphacelatum,Bulgras
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisetum sphacelatum,Pennisetum sphacelatum,Bulgras
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisetum riparium,Pennisetum riparium,Riparian fountain grass
pennisetum riparium,Pennisetum riparium,Riparian fountain grass
pennisetum riparium,Pennisetum riparium,Riparian fountain grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
pennisetum riparium,Pennisetum riparium,Riparian fountain grass
sporobolus africanus,Porobolus africanus,Parramatta grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisetum villosum,Paphiopedilum villosum,Hairy slipper orchid
pennisetum villosum,Paphiopedilum villosum,Hairy slipper orchid
Hyparrhenia  dregeana,Hyparrhenia dregeana,Tambuki grass
pennisetum villosum,Paphiopedilum villosum,Hairy slipper orchid
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
Andropogon Abyssinica,Andropogon abyssinica,Abyssinian grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
pennisitum thubergii,Pennisetum thunbergii,Fountain grass
Hyparrhenia  dregeana,Hyparrhenia dregeana,Tambuki grass
Macroptilium† lathyroides,Macroptilium lathyroides,Phasey bean
Calopogonium† mucunoides,Calopogonium mucunoides,Calopo
Macroptilium† atropurpureum,Macroptilium atropurpureum,Siratro
Teramnus† uncinatus,Teramnus uncinatus,Hooked teramnus
Teramnus† labialis,Teramnus labialis,Mashaparni
Lathyrus† sativus,Lathyrus sativus,Grass pea
Listia† bainesii,Listia bainesii,Lotononis
Centrosema†† schottii,Centrosema schottii,Schott's butterfly pea
Labalab purpureues,Lablab purpureus,Lablab
Stylosanthes guianensis� ,Stylosanthes guianensis,Stylo
Arachis glabrata��� ,Arachis glabrata,Rhizoma peanut
Chamaecrista rotundifolia��� ,Chamaecrista rotundifolia,Pasto rastiero
Desmanthus leptophyllus� ,Desmanthus leptophyllus,Slenderleaf bundleflower
Macrotyloma axillare� ,Macrotyloma axillare,Perennial horsegram
Labalab purpureues,Lablab purpureus,Lablab
Arachis glabrata†††,Arachis glabrata,Rhizoma peanut
Medicago sativa,Medicago sativa,Alfalfa
Desmodium intortum,Desmodium intortum,Desmodium
Neonotonia wightii,Neonotonia wightii,Perennial soybean
Chamaecrista rotundifolia†††,Chamaecrista rotundifolia,Pasto rastiero
Arachis pintoi†††,Arachis glabrata,Rhizoma peanut
Trifolium repens†,Triticum repens,Couch grass
Desmanthus leptophyllus†,Desmanthus leptophyllus,Slenderleaf bundleflower
Macrotyloma axillare†,Macrotyloma axillare,Perennial horsegram
Stylosanthes guianensis†,Stylosanthes guianensis,Stylo
Trifolium pratense†,Trifolium pratense,Red clover
Leucaena pallida†,Leucaena pallida,Lead tree
Stylosanthes† fruticosa,Stylosanthes fruticosa,African stylo
Calopogonium caeruleum†††,Calopogonium caeruleum,Wild jicama
Centrosema pascuorum†,Centrosema pascuorum,Centro
Codariocalyx gyroides†††,Codariocalyx gyroides,Telegraph plant
Neustanthus† phaseoloides,Neustanthus phaseoloides,Tropical kudzu
Centrosema† acutifolium,Centrosema acutifolium,Sharp-leaved centrosema
Centrosema macrocarpum†††,Centrosema macrocarpum,Large-fruited butterfly pea
Calliandra calothyrsus†††,Calliandra calothyrsus,Red calliandra
Leucaena diversifolia†††,Leucaena diversifolia,Wild tamarind
Centrosema†† virginianum,Centrosema virginianum,Spurred butterfly pea
Leucaena trichodes†,Leucaena trichodes,Woolly leadtree
Erythrina abyssinica†,Erythrina abyssinica,Red-hot-poker tree
Centrosema† pascuorum,Centrosema pascuorum,Centro
Cajanus† cajan,Cajanus cajan,Pigeon pea
Gliricidia sepium†,Gliricidia sepium,Mother of cocoa
Sesbania† grandiflora,Sesbania grandiflora,Vegetable hummingbird
Sesbania sesban var. bicolor†,Sesbania sesban var. bicolor,Egyptian riverhemp
Chloris gayana†††,Chloris gayana,Rhodes grass
Cenchrus† Purpureues,Cenchrus Purpureues,Napier grass
Hyparrhenia hirta†††,Hyparrhenia hirta,Common thatching grass
Chloris gayana†††,Chloris gayana,Rhodes grass
Megathyrsus maximus†††,Megathyrsus maximus,Guinea grass
Panicum coloratum†††,Panicum coloratum,Klein grass
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Festuca aru. /5734/,Festuca arundinacea,Tall fescue
Panicum col. /7153/,Panicum coloratum,Klein grass
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Festuca aru. /5734/,Festuca arundinacea,Tall fescue
Panicum col. /7153/,Panicum coloratum,Klein grass
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Festuca aru. /5734/,Festuca arundinacea,Tall fescue
Panicum col. /7153/,Panicum coloratum,Klein grass
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Festuca aru. /5734/,Festuca arundinacea,Tall fescue
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Panicum col. /7153/,Panicum coloratum,Klein grass
Panicum col. /7153/,Panicum coloratum,Klein grass
Panicum col. /7153/,Panicum coloratum,Klein grass
Festuca aru. /5734/,Festuca arundinacea,Tall fescue
Festuca aru. /5734/,Festuca arundinacea,Tall fescue
Lolium perenne /10665/,Lolium perenne,Perennial ryegrass
Guetmala,Tripsacum andersonii,Guatemala grass
Barley hull,Hordeum vulgare,Barley hull
Barley straw,Hordeum vulgare,Barley straw
Stylosanthes guinanensis,Stylosanthes guianensis,Stylo
Brachiaria hybrid (Cayman),Brachiaria hybrid,Brachiaria hybrid
eluecine floccifolia,Eleusine floccifolia,Eleusine grass
Pennisetum longistylum,Pennisetum longistylum,Long-styled fountain grass
Eragrostis sp,Eragrostis sp,Love grass
Alchimella abyssinica,Alchemilla abyssinica,Lady's mantle
Snowdenia polystachya,Snowdenia polystachya,Snowdenia grass
Ischaemum fasciculatum,Ischaemum fasciculatum,Fascicled muraingrass
Eragrostis botryodes,Eragrostis botryodes,Cluster love grass
Alysicarpus glumaceus,Alysicarpus glumaceus,Chain pod
Tephrosia pumila,Tephrosia pumila,Dwarf tephrosia
Desmodium dichotomum,Desmodium dichotomum,Forked tick trefoil
Setaria verticillata,Setaria verticillata,Bristly foxtail
Pennisetum polystachion,Pennisetum polystachion,Mission grass
Trifolium  bilineatum,Trifolium bilineatum,Two-lined clover
Trifolium simense,Trifolium simense,Simien clover
Trifolium rueppellianum,Trifolium rueppellianum,Rueppell's clover
Trifolium decorum,Trifolium decorum,Elegant clover
Crotalaria pallida,Crotalaria pallida,Pale rattlepod
Trifolium quartinianum,Trifolium quartinianum,Quartinian clover
Aeschynomene abyssinica,Aeschynomene abyssinica,Abyssinian joint vetch
Crotalaria spinosa,Crotalaria spinosa,Spiny rattlepod
Trifolium pichisermollii,Trifolium pichisermollii,Pichisermolli clover
Crotalaria plowdenii,Crotalaria plowdenii,Plowden's rattlepod
Crotalaria pycnostachya,Crotalaria pycnostachya,Dense-spiked rattlepod
Indigofera zavattarii,Indigofera zavattarii,Zavattari's indigo
Indigofera spicata,Indigofera spicata,Spiked indigo
Lotus sp,Lotus sp,Bird's foot trefoil
Crotalaria lachnocarpoides,Crotalaria lachnocarpoides,Woolly-fruited rattlepod
Helichrysum splendidum,Helichrysum splendidum,Splendid everlasting
Brachiaria grass ,Brachiaria spp,Brachiaria grass
Burgamensia suvelianc,Burgamensia suvelianc,Burgamensia
Medicago polymorpha,Medicago polymorpha,Burr medic
Trifolium burchellianumm,Trifolium burchellianum,Burchell's clover
Hyparrhenia dregeana,Hyparrhenia dregeana,Drege's thatching grass
phalaris sp,Phalaris sp,Canary grass
